signal_date,entry_date,executed,starting_equity,ending_equity,daily_pnl,daily_return_pct,portfolio_size,selected_count,peak_equity,drawdown_pct
2026-02-02,2026-02-03,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-03,2026-02-04,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-04,2026-02-05,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-05,2026-02-06,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-06,2026-02-09,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-09,2026-02-10,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-10,2026-02-11,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-11,2026-02-12,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-12,2026-02-13,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-13,2026-02-16,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-16,2026-02-17,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-17,2026-02-18,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-18,2026-02-19,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-19,2026-02-20,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-20,2026-02-23,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-23,2026-02-24,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-24,2026-02-25,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-25,2026-02-26,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-26,2026-02-27,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-02-27,2026-03-02,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-03-02,2026-03-04,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-03-04,2026-03-05,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-03-05,2026-03-06,0,100000.0,100000.0,0.0,0.0,5,0,100000.0,0.0
2026-03-06,2026-03-09,1,100000.0,99717.04247081775,-282.9575291822598,-0.002829575291822598,5,2,100000.0,-0.0028295752918225947
2026-03-09,2026-03-10,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-10,2026-03-11,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-11,2026-03-12,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-12,2026-03-13,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-13,2026-03-16,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-16,2026-03-17,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-17,2026-03-18,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-18,2026-03-19,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-19,2026-03-20,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-20,2026-03-23,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-23,2026-03-24,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-24,2026-03-25,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-25,2026-03-27,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-27,2026-03-30,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-03-30,2026-04-01,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-01,2026-04-02,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-02,2026-04-06,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-06,2026-04-07,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-07,2026-04-08,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-08,2026-04-09,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-09,2026-04-10,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-10,2026-04-13,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-13,2026-04-15,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-15,2026-04-16,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-16,2026-04-17,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-17,2026-04-20,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-20,2026-04-21,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-21,2026-04-22,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-22,2026-04-23,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-23,2026-04-24,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-24,2026-04-27,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-27,2026-04-28,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-28,2026-04-29,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-29,2026-04-30,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-04-30,2026-05-04,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-04,2026-05-05,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-05,2026-05-06,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-06,2026-05-07,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-07,2026-05-08,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-08,2026-05-11,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-11,2026-05-12,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-12,2026-05-13,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-13,2026-05-14,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-14,2026-05-15,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-15,2026-05-18,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-18,2026-05-19,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-19,2026-05-20,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-20,2026-05-21,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-21,2026-05-22,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-22,2026-05-25,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-25,2026-05-26,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-26,2026-05-27,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
2026-05-27,2026-05-29,0,99717.04247081775,99717.04247081775,0.0,0.0,5,0,100000.0,-0.0028295752918225947
