qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,model_threshold,validation_precision,validation_recall,validation_specificity
65,307.1535,299.81002,307.0,322.51,299.96,19964.9775,19487.6513,-477.3261999999995,-531.6426312972475,54.316431297248,40.0,1.3611156936000002,4.871912825000001,0.03945262880000001,0.5989493250000001,7.445000824847999,-0.026582131564862374,close,2026-04-17,2026-04-20,SCI,0.7616832852363586,6.639504468064294,0.047933529183733524,9.890784183549536,3053.968894601,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
28,700.3499999999999,701.74895,700.0,716.6,702.1,19609.799999999996,19648.9706,39.170600000004924,-15.167419971721081,54.338019971726006,40.0,1.3544275856999999,4.9122426500000005,0.03925877059999999,0.5882939999999999,7.443796965426,-0.0007583709985860541,close,2026-04-17,2026-04-20,NAVA,0.8057172894477844,6.488741668258748,0.041494808704309466,16.03132166871044,1795.62634855,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
69,287.14349999999996,289.14535500000005,287.0,299.6,289.29,19812.901499999996,19951.029495000002,138.1279950000062,83.68729701945475,54.44069798055145,40.0,1.3718556193275,4.987757373750001,0.039763930995,0.594387045,7.446934011478949,0.004184364850972737,close,2026-04-17,2026-04-20,APOLLO,0.8039199709892273,6.453067959085625,0.05366358632530424,4.55242444691029,1509.1096529099998,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
17,1130.6150249999998,1085.15715,1130.05,1149.0,1085.7,19220.455424999996,18447.67155,-772.7838749999974,-826.7435441263746,53.95966912637724,40.0,1.2995503806374997,4.6119178875,0.037668126974999994,0.5766136627499999,7.43391906851475,-0.04133717720631873,close,2026-04-17,2026-04-20,WAAREERTL,0.7599114179611206,6.231876754435272,0.047301189089559326,13.09487494167305,1913.7553524899997,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
488,40.920449999999995,39.20039,40.9,41.6,39.22,19969.1796,19129.79032,-839.3892799999994,-893.6016210033627,54.21234100336321,40.0,1.34891446224,4.78244758,0.039098969920000004,0.599075388,7.4428046032032,-0.04468008105016813,close,2026-04-17,2026-04-20,OLAELEC,0.7479280233383179,6.089063487977606,0.07225099741023307,1.400465513164925,1434.066703368,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
33,575.1874499999999,569.8149500000001,574.9,587.0,570.1,18981.185849999998,18803.893350000002,-177.29249999999593,-231.33892456642792,54.04642456643201,40.0,1.3035852324,4.700973337500001,0.0377850792,0.5694355754999999,7.434645341832001,-0.011825144464115612,close,2026-04-20,2026-04-21,TRITURBINE,0.8460826873779297,7.5104077135065435,0.04689591907571775,15.263085695686705,3588.27581984,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
91,214.107,209.41524,214.0,221.77,209.52,19483.737,19056.78684,-426.9501600000003,-481.10639406936673,54.15623406936639,40.0,1.32964807248,4.76419671,0.03854052384,0.58451211,7.439336653046399,-0.02459228434273447,close,2026-04-20,2026-04-21,SWSOLAR,0.8426884412765503,6.76409462508652,0.05392506870722636,13.087761098256896,1504.1012208640002,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
65,300.640245,300.44970000000006,300.49,302.7,300.6,19541.615925,19529.230500000005,-12.38542499999312,-66.68362610712987,54.29820110713675,40.0,1.3479442016625,4.882307625000001,0.039070846425,0.58624847775,7.44262995629925,-0.0034086071489515175,close,2026-04-20,2026-04-21,SCI,0.7828987240791321,6.180064316535509,0.05285704760634752,3.6899612733135263,1349.2323183679998,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
21,894.196875,895.65195,893.75,906.35,896.1,18778.134374999998,18808.69095,30.55657500000234,-23.476688253053403,54.03326325305574,40.0,1.2967454737125,4.7021727375,0.037586825324999996,0.56334403125,7.43341418526825,-0.0012000368318978959,close,2026-04-20,2026-04-21,ATHERENERG,0.7303674817085266,5.794709855091572,0.058081639536471184,2.4116053398600625,1315.8576667,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
67,290.094975,286.786535,289.95,292.99,286.93,19436.363325,19214.697845000002,-221.66547999999602,-275.8643811223967,54.1989011224007,40.0,1.3334616103649999,4.803674461250001,0.03865106117,0.58309089975,7.4400230898657,-0.0141011123199005,close,2026-04-20,2026-04-21,APOLLO,0.7474994659423828,5.7751281537497325,0.05559176901082947,2.9313470564958344,1121.3231598060001,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
89,214.92740999999998,217.79105,214.82,222.88,217.9,19128.53949,19383.40345,254.8639600000024,200.637919812775,54.2260401872274,40.0,1.32866203143,4.845850862500001,0.03851194294,0.5738561847,7.4391591656574,0.010370164314168654,close,2026-04-21,2026-04-22,GROWW,0.7584684491157532,7.304837721765537,0.057380496238493534,5.33894606834111,6181.140422240999,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
116,166.173045,153.773075,166.09,176.0,153.85,19276.07322,17837.6767,-1438.3965199999984,-1492.1822358807617,53.785715880763206,40.0,1.28042437224,4.459419175,0.03711374992,0.5782821966,7.4304763870032,-0.07712487742699273,close,2026-04-21,2026-04-22,ROLEXRINGS,0.8398326635360718,6.585719334630182,0.04455895859827612,17.839868261782726,1420.476950832,large_gap,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
157,122.351145,122.648645,122.29,124.04,122.71,19209.129765,19255.837265000002,46.70750000000044,-7.487106984020862,54.1946069840213,40.0,1.327041362535,4.813959316250001,0.03846496703,0.5762738929500001,7.4388674452562995,-0.00038697834255113915,close,2026-04-21,2026-04-22,LEMONTREE,0.7527759671211243,5.894407067670508,0.04318144431649943,12.239050927192269,1429.106967166,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
19,979.5895499999999,989.7548750000001,979.1,1001.3,990.25,18612.201449999997,18805.342625,193.1411750000043,139.12078753688604,54.020387463118254,40.0,1.2909052705875,4.70133565625,0.037417544074999996,0.5583660435,7.43236294870575,0.007190592025776151,close,2026-04-21,2026-04-22,PNBHOUSING,0.7040761709213257,5.732204260282916,0.041306155799057435,9.549631026763464,1953.75606092,large_gap,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
