qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity
325,307.1535,316.20992094750005,307.0,322.51,299.96,99824.8875,102768.22430793752,2943.3368079375214,2858.999846542028,84.33696139549346,40.0,6.989462357373843,25.69205607698438,0.2025931118079375,2.994746625,8.458103224327292,0.02858999846542028,take_profit,2026-04-17,2026-04-20,SCI,0.7616832852363586,6.639504468064294,0.047933529183733524,9.890784183549536,3053.968894601,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
178,575.1874499999999,569.8149500000001,574.9,587.0,570.1,102383.36609999998,101427.0611,-956.3049999999785,-1040.4341991764904,84.12919917651199,40.0,7.031459738399999,25.356765275,0.20381042719999998,3.0715009829999995,8.465662752912,-0.010115149872434507,close_proxy,2026-04-20,2026-04-21,TRITURBINE,0.8460826873779297,7.5104077135065435,0.04689591907571775,15.263085695686705,3588.27581984,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
473,214.92740999999998,221.26454468385,214.82,222.88,217.9,101660.66492999998,104658.12963546105,2997.4647054610687,2912.444796182978,85.01990927809065,40.0,7.117998412508406,26.164532408865263,0.20631879456546104,3.0498199478999997,8.481239714251513,0.028604260703002104,take_profit,2026-04-21,2026-04-22,GROWW,0.7584684491157532,7.304837721765537,0.057380496238493534,5.33894606834111,6181.140422240999,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
113,919.4594999999999,946.5697633575,919.0,957.0,913.3,103898.92349999999,106962.38325939751,3063.4597593975195,2977.6071707727356,85.85258862478385,40.0,7.274715083199213,26.740595814849378,0.2108613067593975,3.116967705,8.509448714975857,0.028430998213062292,take_profit,2026-04-22,2026-04-23,ARE&M,0.8499118685722351,7.331671910670831,0.03923127056541988,15.042190385623645,3156.09204592,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
1330,80.92043999999999,83.30637917339999,80.88,83.48,76.69,107624.18519999998,110797.48430062199,3173.299100622011,3086.0606361559844,87.23846446602644,40.0,7.535547597771457,27.699371075155497,0.21842166950062195,3.228725555999999,8.556398567598862,0.028651938020469527,take_profit,2026-04-23,2026-04-24,DELTACORP,0.8666409850120544,5.874657328537091,0.05179446778711486,11.594398984903167,492.03099455999995,normal,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
191,577.2885,570.364675,577.0,583.7,570.65,110262.1035,108939.652925,-1322.4505749999953,-1409.336256596732,86.88568159673673,40.0,7.5624605966625,27.23491323125,0.21920175642499998,3.307863105,8.561242907399249,-0.012720252261670895,close_proxy,2026-04-24,2026-04-27,HSCL,0.794784426689148,7.11890189161489,0.037994726284048895,10.596684171032162,4373.99054365,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
188,580.29,559.270225,580.0,582.95,559.55,109094.51999999999,105142.8023,-3951.717699999994,-4037.412074888127,85.69437488813298,40.0,7.391187619349999,26.285700575,0.21423732229999998,3.2728355999999996,8.530413771483,-0.036909991789521465,close_proxy,2026-04-27,2026-04-28,TANLA,0.8400968909263611,6.305631822947616,0.04554421476970579,12.20987255745088,1028.815868095,large_gap,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
155,677.3385,697.3098256725,677.0,698.0,637.75,104987.4675,108083.0229792375,3095.555479237504,3009.297929309806,86.25754992769836,40.0,7.350931921533694,27.020755744809378,0.2130704904792375,3.149624025,8.523167745876064,0.02856532569385858,take_profit,2026-04-28,2026-04-29,AGI,0.8690162897109985,6.660518834846963,0.043969115413617685,15.83815763937299,1213.78891682,large_gap,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
527,205.252575,211.30444717387502,205.15,212.7,205.61,108168.107025,111357.44366063214,3189.336635632135,3101.895820787129,87.44081484500575,40.0,7.573631498654309,27.839360915158036,0.21952555068563215,3.24504321075,8.563253669757776,0.028626570487108784,take_profit,2026-04-29,2026-04-30,SAPPHIRE,0.8709418773651123,6.434673687118109,0.05197873190352221,11.83449024973884,858.2575394039999,normal,qualified,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
238,467.58367499999997,481.37037965737505,467.35,492.25,477.35,111284.91464999999,114566.15035845526,3281.235708455264,3192.6353755046475,88.60033295061648,40.0,7.791861742791705,28.641537589613815,0.22585106500845523,3.3385474394999997,8.602535113702507,0.028644002127481766,take_profit,2026-04-30,2026-05-04,SYNGENE,0.8303346633911133,7.112072813502927,0.04468390585144567,15.174784780166519,2771.97919431,normal,forced_fallback,0.865,0.7142857142857143,0.002944723336231315,0.9996079163554892
