signal_date,entry_weekday,status,reason,distance,width,take_profit,stop_loss,minimum_credit,expiry,entry_date,exit_date,lot,raw_credit_points,effective_credit_points,gross_pnl,costs,net_pnl,window
2021-01-01,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-07,2021-01-04,2021-01-05,75.0,42.8,40.8,6765.0,102.7006736,6662.2993264,2021
2021-01-04,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-05,1,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-06,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-07,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-14,2021-01-08,2021-01-11,75.0,90.75,88.75,16218.75,114.22803912500001,16104.521960875,2021
2021-01-08,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-11,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-12,1,SKIP,CREDIT_GATE,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-13,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-14,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-21,2021-01-15,2021-01-18,75.0,89.55,87.55,16083.75,122.903338925,15960.846661075,2021
2021-01-15,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-18,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-19,1,SKIP,CREDIT_GATE,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-20,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-21,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-01-28,2021-01-22,2021-01-25,75.0,110.45000000000002,108.45000000000002,18341.250000000004,125.70530427499999,18215.544695725002,2021
2021-01-22,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-25,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-27,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-01-28,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-04,2021-01-29,2021-02-01,75.0,157.14999999999995,155.14999999999995,26936.249999999993,154.781738825,26781.468261174992,2021
2021-01-29,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-01,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-02,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-04,2021-02-03,2021-02-04,75.0,31.6,29.6,2396.25,98.76065772499999,2297.489342275,2021
2021-02-03,2,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-04,3,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-05,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-11,2021-02-08,2021-02-09,75.0,99.65,97.65,13803.75,113.419532675,13690.330467325,2021
2021-02-08,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-09,1,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-10,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-11,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-18,2021-02-12,2021-02-15,75.0,66.10000000000001,64.10000000000001,9656.25,108.314209325,9547.935790675,2021
2021-02-12,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-15,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-16,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-18,2021-02-17,2021-02-18,75.0,22.5,20.5,1447.5,97.44724490000002,1350.0527551,2021
2021-02-17,2,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-18,3,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-19,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-02-25,2021-02-22,2021-02-23,75.0,108.05,106.05,14834.999999999998,120.3425273,14714.657472699999,2021
2021-02-22,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-23,1,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-24,2,SKIP,ENTRY_ON_EXPIRY_EXCLUDED,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-02-25,3,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-04,2021-02-26,2021-03-01,75.0,206.95000000000002,204.95000000000002,26238.75,165.746670575,26073.003329425,2021
2021-02-26,4,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-01,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-02,1,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-04,2021-03-03,2021-03-04,75.0,122.79999999999998,120.79999999999998,9074.999999999998,109.17041149999999,8965.829588499999,2021
2021-03-03,2,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-04,3,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-05,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-10,2021-03-08,2021-03-09,75.0,87.65000000000002,85.65000000000002,10125.0,108.91941440000001,10016.0805856,2021
2021-03-08,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-09,1,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-10,2,SKIP,NO_ELIGIBLE_EXPIRY,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
2021-03-12,4,TRADE,EXECUTED,0.0125,300,0.4,1.0,10.0,2021-03-18,2021-03-15,2021-03-16,75.0,95.55,93.55,12528.75,113.32150167500001,12415.428498325,2021
2021-03-15,0,SKIP,ACTIVE_POSITION,0.0125,300,0.4,1.0,10.0,,,,,,,,,,2021
