signal_date,entry_date,exit_date,expiry,strategy,regime,lot_size,lots,qty,risk_cash,gross_pnl,costs,net_pnl,capital_return,theoretical_max_profit,theoretical_max_loss,window,predicted_risk_return,prediction_edge,train_regime_best_risk_return
2021-01-04,2021-01-05,2021-01-12,2021-01-21,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4496.250000000001,1942.4999999999993,140.12658214999988,1802.3734178499994,0.018023734178499996,3003.7499999999986,-4496.250000000001,1,15110.72291410876,4257.1055408827615,0.07105278991118066
2021-01-13,2021-01-14,2021-01-21,2021-01-28,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,4455.0,-7.500000000001705,154.47076055000002,-161.97076055000173,-0.0016197076055000173,3044.9999999999995,-4455.0,1,10367.882823744176,3909.794909931262,0.2746053000637476
2021-01-25,2021-01-27,2021-02-03,2021-02-11,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,3881.2500000000023,3097.4999999999986,146.11378400000012,2951.3862159999985,0.029513862159999984,3618.7499999999977,-3881.2500000000023,1,8510.780675790833,2958.9293381097696,0.07105278991118066
2021-02-04,2021-02-05,2021-02-12,2021-02-25,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,4226.250000000002,1297.4999999999986,162.32813854999995,1135.1718614499987,0.011351718614499988,3273.749999999998,-4226.250000000002,1,9642.14734155871,2640.689468851947,0.2746053000637476
2021-02-15,2021-02-16,2021-02-23,2021-03-04,IRON_BUTTERFLY,BULL_HIGH_VOL,75,1,75,2369.9999999999995,-243.75000000000213,358.9578166749999,-602.707816675002,-0.006027078166750021,12630.0,-2369.9999999999995,1,6599.825890595452,943.9750247301126,-0.16552771318551823
2021-02-24,2021-02-25,2021-03-04,2021-03-18,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,4162.500000000002,-63.750000000001705,184.202237825,-247.9522378250017,-0.002479522378250017,3337.4999999999977,-4162.500000000002,1,6628.508058529177,187.0069499654728,0.2746053000637476
2021-03-05,2021-03-08,2021-03-16,2021-03-25,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,4094.9999999999973,187.50000000000213,180.0932174,7.4067826000021455,7.406782600002145e-05,3405.0000000000027,-4094.9999999999973,1,5268.8728101316265,2344.6742904688513,0.2746053000637476
2021-03-17,2021-03-18,2021-03-25,2021-04-01,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,3900.0,-907.4999999999995,182.19801905000008,-1089.6980190499996,-0.010896980190499997,3600.0,-3900.0,1,1336.23581732949,26.868072787578285,0.2746053000637476
2021-03-26,2021-03-31,2021-04-08,2021-04-15,IRON_CONDOR,BULL_HIGH_VOL,75,1,75,3322.500000000003,1350.0,278.81444409999995,1071.1855559,0.010711855559,11677.499999999996,-3322.500000000003,1,803.5030608752422,54.10916901566577,-0.09867971897792707
2021-04-09,2021-04-12,2021-04-20,2021-04-29,BULL_PUT_SPREAD,BULL_HIGH_VOL,75,1,75,4702.499999999999,-566.2499999999987,182.18794422500002,-748.4379442249988,-0.007484379442249988,2797.500000000001,-4702.499999999999,1,2081.77563103209,1080.1458693405784,0.2746053000637476
2021-04-22,2021-04-23,2021-04-30,2021-05-12,IRON_BUTTERFLY,RANGE_HIGH_VOL,75,1,75,2340.0000000000036,-2174.9999999999914,534.0217966,-2709.0217965999914,-0.027090217965999915,12659.999999999996,-2340.0000000000036,1,3083.1174596231895,239.28723914441343,
2021-05-03,2021-05-04,2021-05-11,2021-05-20,BULL_PUT_SPREAD,RANGE_LOW_VOL,75,1,75,4889.999999999999,1188.7500000000018,149.8093322750001,1038.9406677250017,0.010389406677250017,2610.000000000001,-4889.999999999999,1,710.6974774698821,270.7942273793501,-0.09337095554841322
2021-05-27,2021-05-28,2021-06-04,2021-06-17,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,2433.7499999999864,3412.5000000000173,305.0570410999999,3107.4429589000174,0.031074429589000176,5066.250000000014,-2433.7499999999864,1,969.3345758076131,188.41357754829585,0.07105278991118066
2021-06-07,2021-06-08,2021-06-15,2021-06-24,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4563.75,825.0,134.23769360000006,690.7623063999999,0.006907623064,2936.2500000000005,-4563.75,1,2626.1689725518013,720.1094039775494,0.07105278991118066
2021-06-16,2021-06-17,2021-06-24,2021-07-01,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4233.75,1102.499999999999,132.09803584999997,970.4019641499991,0.009704019641499992,3266.25,-4233.75,1,1730.3904433997488,494.90864883348513,0.07105278991118066
2021-06-25,2021-06-28,2021-07-05,2021-07-15,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4177.499999999999,150.00000000000108,137.1729824,12.827017600001085,0.00012827017600001086,3322.500000000001,-4177.499999999999,1,4130.549253380239,366.96188408892067,0.07105278991118066
2021-07-06,2021-07-07,2021-07-14,2021-07-22,BULL_PUT_SPREAD,BULL_LOW_VOL,75,1,75,4372.5,-300.0,133.70266565000003,-433.70266565000003,-0.0043370266565,3127.5,-4372.5,1,3716.0318288157514,299.7881873190313,0.07105278991118066
2021-07-15,2021-07-16,2021-07-26,2021-08-05,IRON_BUTTERFLY,BULL_LOW_VOL,50,1,50,2095.0000000000005,489.9999999999999,237.5713849,252.4286150999999,0.0025242861509999987,7905.0,-2095.0000000000005,1,4366.651936687629,284.10270302031586,-0.06781949574869807
2021-07-27,2021-07-28,2021-08-04,2021-08-12,BEAR_PUT_SPREAD,BULL_LOW_VOL,50,1,50,1922.5000000000002,-1800.0,109.24355779999996,-1909.2435578,-0.019092435578,3077.5,-1922.5000000000002,1,1354.58666066761,479.04690829286767,-0.3216688327558258
